Date,RELIANCE_Open,RELIANCE_High,RELIANCE_Low,RELIANCE_Close,RELIANCE_Volume,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Volume,INFY_Open,INFY_High,INFY_Low,INFY_Close,INFY_Volume,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_Volume
2021-08-10,942.9750770172923,957.0155553586313,939.238504866793,945.7152099609375,11919198,2896.0490283082218,2926.0085870941607,2896.0490283082218,2912.033203125,2040777,1452.7821274360933,1463.233797417648,1446.7289110997303,1460.838623046875,6846517,696.7011680096034,711.089053111212,696.7011680096034,705.427490234375,14838346,16274.7998046875,16359.25,16202.25,16280.099609375,288000.0
2021-08-11,949.7461759426325,960.1859355324891,943.6091647712293,958.9630737304688,9184963,2926.0963934248625,2934.8310095246384,2906.0942078553617,2921.0302734375,1929707,1458.7046793150253,1466.7175832036262,1452.7820242183186,1461.099853515625,4899639,708.8198440384862,710.6680212967121,697.6604700186167,699.4852294921875,12585786,16327.2998046875,16338.75,16162.5498046875,16282.25,277900.0
2021-08-12,962.4052906590396,962.9941092821113,953.3922326146494,955.88330078125,8137612,2905.1331209034925,2941.818506074252,2905.1331209034925,2927.624755859375,1310205,1462.4937154428749,1477.605069335375,1458.008185126683,1471.5953369140625,5659579,700.4444079659049,705.4041231454273,696.8416105444284,702.503173828125,8597674,16303.650390625,16375.5,16286.900390625,16364.400390625,280200.0
2021-08-13,958.9630848706249,973.7282353115995,955.181228214771,971.8032836914062,12780901,2935.4859832902466,3039.646275935448,2932.647233176226,3025.146728515625,4363584,1478.0405554063918,1500.2503575058986,1473.076053935639,1491.279296875,5612790,702.4095267761425,716.3529313032537,702.3159698799373,714.1069946289062,16658428,16385.69921875,16543.599609375,16376.2998046875,16529.099609375,321900.0
2021-08-16,973.4791039346753,997.7781437654177,963.8772277608733,984.4170532226562,21935444,3022.1774831614002,3052.1809778669244,3001.651133203512,3033.48876953125,2083489,1487.3597412491697,1498.0291547007535,1472.030646043933,1484.485595703125,4564109,714.0836450209575,718.2245372816506,711.8844867606579,716.165771484375,6252778,16518.400390625,16589.400390625,16480.75,16563.05078125,254000.0
2021-08-17,982.3111087496648,989.7162669243918,972.7998007947025,980.2276611328125,12658169,3041.480342454519,3110.221719131916,3024.7971426810414,3103.452392578125,4336019,1484.0501084300226,1523.2438721030503,1468.9387563667328,1516.9293212890625,9510390,709.8959273107525,713.0776615079304,704.3279781405072,708.7028198242188,8282666,16545.25,16628.55078125,16495.400390625,16614.599609375,297400.0
2021-08-18,984.6436264377176,990.4409443539315,974.9511803260805,984.0321655273438,10075860,3121.6204986858806,3140.0941242989843,3089.084057481392,3110.00341796875,2631309,1505.9114463640587,1528.9922175200145,1504.1695013711565,1509.7872314453125,6686090,728.377938007942,732.4252734894459,705.7550455915143,707.9307861328125,22985932,16691.94921875,16701.849609375,16535.849609375,16568.849609375,251800.0
2021-08-20,970.6031001945055,983.7377088016336,967.8856094241049,972.98095703125,9426282,3062.355510863315,3122.624344362907,3057.1147427329156,3109.085693359375,2836148,1494.6758198585792,1519.8469452589354,1494.6758198585792,1509.3516845703125,6206972,695.3209624684945,711.1125453306043,695.3209624684945,708.7496337890625,13150406,16382.5,16509.55078125,16376.0498046875,16450.5,350800.0
2021-08-23,984.6436123486905,984.6436123486905,965.756910089194,979.3671264648438,9854395,3126.9927799505867,3208.224715295672,3111.183038417767,3177.12939453125,3744176,1511.7904030093007,1526.9453446318312,1508.524256380302,1514.4033203125,6189051,715.8148667910151,717.3589554598426,705.8954364767717,713.3583984375,10843054,16592.25,16592.5,16395.69921875,16496.44921875,275600.0
2021-08-24,980.5899239821464,992.7960796490014,976.3098177521405,989.036865234375,11864472,3194.248869248207,3203.289281535624,3139.5700912462094,3155.9912109375,2511141,1524.2019817690077,1530.2987896960838,1491.7146627153454,1498.8131103515625,7602939,715.8850444307441,732.0275503345746,714.6918798434089,729.3839111328125,18381314,16561.400390625,16647.099609375,16495.30078125,16624.599609375,275400.0
2021-08-25,989.8068486851395,1005.4778098902966,987.4063495975512,997.5969848632812,13380559,3153.195992277176,3229.842238349842,3150.619323520232,3195.99560546875,2123263,1496.3307234273852,1521.5018494102508,1496.3307234273852,1511.6163330078125,6153253,726.2255583877181,732.1679061275219,724.3071851475217,728.7054443359375,7727974,16654.0,16712.44921875,16617.5,16634.650390625,265900.0
2021-08-26,1000.0427010414176,1016.7553848783828,998.6839258042111,1010.210693359375,18589616,3196.8686356782473,3220.976254951177,3186.2996677312776,3207.21923828125,1902533,1510.2663441886914,1520.7180143906892,1498.0727289530273,1504.7791748046875,5302248,725.2429550875793,735.0688273823142,722.1781958823681,727.4888916015625,11119002,16627.94921875,16683.69921875,16603.400390625,16636.900390625,253500.0
2021-08-27,1013.1773175448565,1015.7816567389563,1003.6887127626729,1008.8292846679688,10480636,3202.11010049132,3257.5749099242707,3189.0956084587892,3249.407958984375,3944728,1502.427583260766,1504.7791665153063,1485.1822849945138,1488.31787109375,6698514,726.1788245585184,729.2903625174678,723.0205081501615,724.5177612304688,6382138,16642.55078125,16722.05078125,16565.599609375,16705.19921875,217400.0
2021-08-30,1019.0652631807153,1030.7732288164937,1013.0867479284576,1028.23681640625,14027062,3244.9097402629527,3267.052076414065,3220.9769784870473,3232.943359375,2033114,1483.3095738715613,1496.8967219149827,1472.2917518551153,1478.9547119140625,6559667,727.8632353130765,734.6009882849862,725.9916404384651,733.7821655273438,9049166,16775.849609375,16951.5,16764.849609375,16931.05078125,283500.0
2021-08-31,1031.2486961976206,1034.351165067264,1015.5550939662595,1022.7565307617188,26485463,3240.017866834133,3322.7348380108765,3234.820813776714,3307.318115234375,3207480,1480.7838114569747,1493.7177308949172,1468.3288630679174,1486.2708740234375,12255438,731.559720298122,740.8474993755592,730.9514290559877,739.9351196289062,12062576,16947.5,17153.5,16915.849609375,17132.19921875,464400.0
