Date,RELIANCE_log_return,RELIANCE_volatility_10d,RELIANCE_rsi,RELIANCE_macd_signal,RELIANCE_ma_ratio,TCS_log_return,TCS_volatility_10d,TCS_rsi,TCS_macd_signal,TCS_ma_ratio,INFY_log_return,INFY_volatility_10d,INFY_rsi,INFY_macd_signal,INFY_ma_ratio,HDFCBANK_log_return,HDFCBANK_volatility_10d,HDFCBANK_rsi,HDFCBANK_macd_signal,HDFCBANK_ma_ratio,NIFTY50_log_return,NIFTY50_volatility_10d,NIFTY50_rsi,NIFTY50_macd_signal,NIFTY50_ma_ratio
2026-03-05,2.286355399250834,0.8935803710765376,-0.6984964483066421,-1.0005835002389398,-0.8007413561352069,-0.22071340731306568,0.4542973816823248,-1.2066023718139995,-2.5326565812845825,-2.529072793237097,-0.05829143582429756,0.1692672497201863,-1.0455661140280061,-2.703917698224481,-2.4124633276668876,0.7788444035783234,-0.4417643963767374,-1.0504179142500343,-1.2613286198678186,-0.8888934477305268,1.285359174259349,0.547453134210285,-1.2073019299120358,-0.7994797871061813,-0.49133229994122346
2026-03-06,0.7685990736074125,0.7432558250525357,-0.22257804777349083,-1.030978604914007,-0.7718055762238848,-0.5632758338935083,0.46207281110222065,-1.0377285580100466,-2.5358906588216747,-2.6209675309131244,0.13880433426604677,0.1929774911496745,-0.8478853325924862,-2.676408133615802,-2.4781496166181625,-1.80891036084152,-0.1471553643234513,-1.1090090418341816,-1.3807757606505846,-0.9603979199708788,-1.4861493363281704,0.5077836518714348,-1.194399563307764,-0.971946564948132,-0.5410912692543681
2026-03-09,0.9491231228127647,0.8278541533655982,-0.20220665980418914,-1.0163241833854013,-0.7434309798644408,-0.8234585849787894,0.44139652657095974,-1.3424048298669808,-2.5402172220516266,-2.696441725201882,0.32540567012727145,0.1912037535377936,-0.6976245527109477,-2.6235378496527963,-2.5320046316874665,-1.4614120490495621,-0.03387290469501018,-2.0319792727379746,-1.5303639492287107,-1.0345172011668573,-2.0092876391881243,0.5917759927806701,-1.6983272584581737,-1.1840740400862235,-0.6224990496830275
2026-03-10,-0.7703344171308524,0.8655423197254276,-0.21401095056475267,-0.9862403737003831,-0.7366197239665333,-0.3779619019208384,0.4370446865274812,-1.5256121970020629,-2.543943438542373,-2.787837789267673,-0.8947449006252014,0.11788200767676058,-1.3513895000647547,-2.563046378196911,-2.5905221913940295,0.7737632604636621,-0.11734895633479521,-1.717104162237901,-1.6735476276139027,-1.0955140393584766,1.0675970078489097,0.7504985723161449,-1.451985384585011,-1.3866960695744297,-0.7113027450647225
2026-03-11,-0.9513782130023488,0.9378185141528879,-0.6300912191443452,-0.9633264959398369,-0.7447478960530766,-1.361085645426218,-0.35249520680070145,-1.6096071045972098,-2.557918239769661,-2.9199703224914186,-0.9036853130907712,-0.8362939435540739,-1.364610976439441,-2.5065296684552822,-2.66338383174737,-1.3975851277356188,-0.06177123975213057,-1.8400993485260264,-1.8263473437671751,-1.1659696343068562,-1.893218950912143,0.8574824459541985,-1.7296557327755493,-1.6057618422006497,-0.834600862836855
2026-03-12,0.09052515134117536,0.6999231302616117,-0.2736006557637644,-0.9422992985820335,-0.7653828498171433,-0.6289943926820732,-1.2490252455352704,-1.6261810223747575,-2.5793608094885476,-3.023006998624619,-0.4898440947252925,-0.9286504277285356,-1.415927612129511,-2.455883412702426,-2.728096760002095,-0.11637869477045613,-0.04279166925415554,-1.7762016073705604,-1.9750029868875634,-1.2288370216394042,-1.1190817829054869,0.7538023192717153,-1.6780677522878245,-1.8410914886324545,-0.9739545658628784
2026-03-13,-0.5979431351331103,0.7004056992997901,-0.5423527995006887,-0.9323292549661658,-0.7585715297515236,-0.9145444979076958,-1.6597948603694384,-1.8056526579873535,-2.6093838579990405,-3.0620356893346603,-0.8370299679141228,-0.810153632558495,-1.41728307723357,-2.4163138137958797,-2.7345052587414687,-1.4488104685910164,0.040024631002474005,-1.8706775073683617,-2.1341187122209955,-1.2979668400883462,-2.399333347293285,0.8445293322837328,-1.9798904371187271,-2.1146904693780453,-1.1212290769602256
2026-03-16,0.7227985981867843,0.7372552344264521,-0.45914603154274575,-0.9145627778856676,-0.707076817173162,-0.009294148352002447,-1.5551690908264753,-1.784735848086292,-2.63743697597126,-3.067696952836374,0.09046361308005078,-0.925800329331811,-1.1866473364480017,-2.379165587221118,-2.7221916044203867,2.1415369376212747,0.9045944779600559,-1.534817611468534,-2.2487869201571007,-1.3080154161115551,1.2261973629941214,1.2937853095526526,-1.8464328733996602,-2.3703877090487335,-1.219462017922179
2026-03-17,0.11547367028164142,0.2137025598501601,-0.43551146944178615,-0.8886796100354422,-0.665835843881467,-0.4940233671227162,-1.549340271240639,-1.5189840189118176,-2.6626270725302157,-3.082605504187384,-0.8181843005316073,-0.8601036603166156,-0.8030591867951833,-2.350038592051297,-2.7127672815454287,0.4175746917823462,0.9534181132133738,-1.282265802556355,-2.3169124539072175,-1.346796690898834,0.8022222583610373,1.4590227336275983,-1.5587326251470748,-2.5810383113527195,-1.3216656135901543
2026-03-18,0.5183131528618615,0.08717132830203927,0.07425066251853608,-0.8475364199290222,-0.6077165783930689,1.4885890844154954,-0.4876313982154165,-1.6090890860676468,-2.661134151332043,-3.093127684147001,1.6949343766404241,-0.33549383705715574,-0.38800392147077734,-2.3013535354477055,-2.7160886782829814,-0.2133233240085767,0.9086387332929436,-1.2757406363585337,-2.350780687750087,-1.4061911469539277,0.912253563569654,1.482773253030724,-1.4144075227099537,-2.729315567515259,-1.4196510545436334
2026-03-19,-1.191529571344664,-0.40673077999252083,-0.3283209447000816,-0.8189283692909508,-0.6168422376911885,-2.5095572100291883,0.19977333092448823,-2.0872984413277975,-2.66638172498602,-3.1133705412143495,-2.2662069097841555,0.31240127098565873,-0.9017132240914958,-2.2653786231464244,-2.7280556650759586,-4.133595058166001,1.939347875611973,-1.5943187549799616,-2.4280961949276043,-1.5286789610678428,-3.796184702849433,1.995660404161691,-1.6913673376985179,-2.895080228017498,-1.5776797524545978
2026-03-20,1.4849762755255218,-0.1139313387289853,0.1855787546512788,-0.7705746846933098,-0.5716506682374596,1.0762690790081118,0.5735052023282249,-1.647117240010595,-2.657086811937941,-3.105373601024374,1.7553022902140214,0.8668266294431127,-0.5283491417826351,-2.212795231516009,-2.71060805321831,-1.704977381294666,1.9228151954310126,-1.642509372284926,-2.551617880878427,-1.665411976071078,0.5225496465240743,2.0801194064030213,-1.4911717800318893,-3.046915415814765,-1.694405695275832
